event_id,ticker,planned_entry_et,actual_first_tradable_minute_et,entry_observation_price,prior20_median_daily_dollar_volume,combined_ticker_event_count,qc_mechanical_status,qc_reason,accepted_primary_sample,outcome_fields_present,qc_project_id,qc_backtest_id
E3-NUE-20220112,NUE,2022-01-12 14:25:00 EST,2022-01-12 14:26:00,113.83,321971770.95,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-GM-20220125,GM,2022-01-25 11:30:00 EST,2022-01-25 11:31:00,51.92,1071467133.08,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-STLD-20220719,STLD,2022-07-19 10:00:00 EDT,2022-07-19 10:01:00,65.28,100732006.65,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E4-META-20221109,META,2022-11-09 10:00:00 EST,2022-11-09 10:01:00,103.12,5058638236.78,2,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E4-CRM-20230104,CRM,2023-01-04 10:00:00 EST,2023-01-04 10:01:00,139.17,1194704357.57,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E2-LOW-20230523,LOW,2023-05-23 10:00:00 EDT,2023-05-23 10:01:00,206.775,440562759.15,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E2-AAP-20230531,AAP,2023-05-31 10:00:00 EDT,2023-05-31 10:01:00,77.10,114674019.28,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-DLR-20231207,DLR,2023-12-08 10:00:00 EST,2023-12-08 10:01:00,134.61,211102768.49,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E1-GILD-20240122,GILD,2024-01-22 10:00:00 EST,2024-01-22 10:01:00,78.49,478200966.84,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-MU-20240425,MU,2024-04-25 10:00:00 EDT,2024-04-25 10:01:00,110.70,2734022302.53,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E2-ULTA-20240530,ULTA,2024-05-31 10:00:00 EDT,2024-05-31 10:01:00,392.22,282056650.71,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-EQIX-20241001,EQIX,2024-10-01 10:00:00 EDT,2024-10-01 10:01:00,879.00,367163370.93,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E4-INTC-20241202,INTC,2024-12-02 10:00:00 EST,2024-12-02 10:01:00,24.68,1311608769.32,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E4-WBD-20241212,WBD,2024-12-12 10:00:00 EST,2024-12-12 10:01:00,12.435,270457826.01,1,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
E3-CEG-20250603,CEG,2025-06-03 10:00:00 EDT,2025-06-03 10:01:00,331.73,742592348.05,2,MECHANICAL_PASS,PASS,true,false,35616508,93979a809b4433427b9995de0e3b67e0
